,food_aspect,service_aspect,ambience_aspect
2975,"'yummy tze Char', 'Phoenix chicken', 'Delectable'",,
2976,"Old school Cantonese cuisine, good wok hei","coming at 8.30pm onwards, last order at 9.30pm",less crowded
2977,"""The food was cooked perfectly and the flavor was out of this world""","""The service was also top-notch, our waiter was very friendly and attentive"", amb: ""Th","""The ambiance was cozy and inviting"""
2978,"The wokhey in the prawn horfun was crazy, and prawns were huge too. Their claypot YTF had the most flavourful filling too.",,Michelin worthy indeed. Never disappoints!
2979,"good ole zichar, claypot yong tai foo, claypot kam heong chicken, sauce, bowl of rice",,
2980,"food tasted awesome, Otherwise it was a really satisfying meal,","Service was great, waiting time for food to be served,",Didn’t need to wait for a table when we arrived
2981,Worst tasted food 2021. Can’t swallow! The 4 dish was just not eatable.,,
2982,'Tasty food',"'the service was excellent', amb: 'th",'the ambiance was cozy'
2983,mediocre food ,rude people serving ,old uncle who sits at the front is super annoying and rude
2984,"black bean beef horfun, hokkien prawn mee, kangkong, beef, sauce",,
2985,"'Food nothing to shout about, just so so only. Dishes can be very salty at times.'",'The old uncle sitting at the front of the shop collecting cash payments from customers is Very Rude and thinks there's no better zichar or cooked food shop than his shop !!!',
2986,,,
2987,really liked the food,wait turned out to be more than an hour,
2988,"Ampang style Yong Tau Foo, Fermented Bean Lettuce, Black Sauce Chicken,",,
2989,"'Moonlight horfun is good but the big prawn hor fun is even better with chilli! Silky and luscious, it’s a very satisfying meal. The rest of the dishes are quite good too.'",'Can call to ask for a reservation.',
2990,The seafood is fresh and they are generous with their portions.,,Nice Zi Char store.
2991,"Cantonese cooking like fried hoy fan, reasonable prices for food",,
2992,"taste, serving of hor fun,",,
2993,big prawn noodle soup and eggplant in Claypot with minced tofu,takeaway during this no dine in period,
2994,prawn paste chicken,"they purposely cut it open to air it out, put it only in a plastic bag and half open",
2995,"Ordered via grab pick up, status of my food, order weren't ready,","10 minutes earlier than the stated time, wait, crowd waiting were already more than 5 pax,",didn't want to
2996,,quite easy to get a table as the turnover is rapid,place has become smaller and tables spaced out very nicely
2997,"'Thanks for providing such great dishes, the wok hey is superb!! Portion is very big for one person, perfectly seasoned, just too much hor fun, and the beef slice can slightly abit thicker, otherwise perfect.'",,
2998,"Claypot Yong Tau Foo, Crispy Chicken, Salted Fish Pork and Big Prawn Horfun",took COVID-19 safety measures very seriously,
2999,Decent portions with excellent flavours,dont expect quality service,"Just renovated for a wider setup but gets extremely busy on weekends, Parking is a nightmare."
3000,"'prawn are fresh', 'other than that all the other dishes are serious mediocre, lousier or on par with normal coffee shops zi char store',",'Waited 1 hour for the foods and folks',
3001,very tasty,Not very cheap,
3002,good foods,,
3003,,"very bad customer service, especially the old uncle. He is very rude and scolded people for not saying the order despite repeated many times. This is not first time such attitude received. If he cannot be bothered, don't sit there to receive customer.  Customer will just walk away.",
3004,"lousy taste, poor portions, prawn soup, paying $20,",,
3005,The prawn horfun is not bad,,
3006,'Food quality is good.','Friendly staff.',"'Avoid peak hours, full of people!'"
3007,Great food for reasonable price,"Cannot receive phone call, sms or WhatsApp",
3008,Great food,Must try,
3009,"Prawn Hor Fun and Yong Tau Foo are very yummy with the former full of wok hei. Fillings of the yong tau foo comprise more than merely fish paste, with a hint of squid & prawn paste soaked in flavourful sauce.",,
3010,Big Prawn Hor Fun,"thoughtful gift, requested for more portion of Hor Fun",
3011,"great, old-school, no frills, reasonably priced Zi Char, third generation, Wong family has been serving, fix,",,no frills
3012,Standard Zichar food,Cash payments only,
3013,Big prawn noodle(but was actually hor fun?? $18),,Michelin bib gourmand status
3014,Authentic chinese/cantonese food,Might need to wait a bit during peak hours,
3015,"all dishes are meh, what was good, prawn hor fun",,
3016,'love the hor fun','just order that',
3017,Good food.,Very crowded,operating hours is from 12pm
3018,"Golden dragon chicken 🐉 🐓 only available on Friday and weekends, signature big prawn hor fun ✨",,
3019,Great food ,fast service ,long queues
3020,excellent food,staff is rather attentive and pleasant,
3021,The food tasted great,,
3022,pricey $60 with only jellyfish and some veg,,
3023,Good food,,
3024,"rich & strong flavour Chinese food, prawn hor fun, prawn bee hoons and crispy chicken",,
3025,"In terms of the food taste and quality, it is easily a five star restaurant. Prawns are definitely fresh and the sauce from the hor fun packs a good punch with a little heat, unlike anything else out there.",,
3026,"consistent great cantonese dishes to savour on...marvelicious big prawns noodles,those who like pork lard yo go with the ho fun,go for it,never missed its wok hei,claypot yong tau foo,ha cheong...",,
3027,"""big prawn hor fun and Yong tau foo""",,
3028,good large prawns hor fun and prawn paste chicken,,
3029,"fast response, able to change order, food ready on time, not late,","fast response, able to change order, called to inform food ready, on time, not late",
3030,,,
3031,'Yummy food',"'The service was great', amb: 'th",'the ambience was very relaxing'
3032,Nice with tr@ditional food taste,,
3033,"shrimp paste chicken, minced meat tofu, prawn horfun",,
3034,better tze cha,,
3035,Good tze-char place,,
3036,,'No parking space....super long waiting time',
3037,Excellent food!,Better make reservations or you may need to wait for a while.,
3038,The food was delicious,"the service was great, amb: th",the ambience was amazing
3039,'horfun was the main highlight',,
3040,Michelin quality food,,
3041,"Food is really awesome - I typically order their homemade tofu, salt and pepper prawn, and black pepper beef. All taste fantastic",,
3042,,Nice place,
3043,The hor fun is super delicious,,Malay scenery
3044,,,
3045,'Tasty authentic food. Every dish a flavour bomb.','Service was very friendly and efficient.','The decor was a bit outdated but the atmosphere was pleasant.'
3046,Great food at very affordable prices,,Good dessert places all within the vicinity.
3047,"roasted chicken, fried yam basket with seafood, spinach with 3 eggs in seafood broth, seafood Hor fun and Fujian Ee mee",queue,restaurant
3048,overly salty and greasy,not expecting any good service for the price point,
3049,"Flavours are reliably what they ought to be (fishcake stuffing is bouncy, prawn noodle stock is prawny etc), kinda like what we all used to expect a decent tze char to be but which is so hard to find these days. ",,
3050,The food here is Top Class,,
3051,The crispy noodle with shrimp omelette was absolutely amazing. The best I ever had.,,
3052,Good prawn hor fun,,
3053,"Two peaches, a pear, and a mango",recommended by the store,
3054,'Consistently good food' 'Highly recommend the fried rice and minced pork tofu','We got the food delivered',
3055,,"Service was exceptionally bad, workers were extremely impolite and super impatient!",
3056,'The prawn noodle in medium is huge but tasty','A place that I frequent often during my childhood. It never disappoints me.',
3057,so so...too pricey...,young male boss too arrogant and pompous....young boss talks without even looking at you...waiting time of 1 hr (20 mins in Q and 40 mins at the table) just not worth it...,
3058,'Prawn beef soup soup is addictive',,
3059,Yummy food,extremely horrible customer service,"If you are looking for a great experience, avoid this place."
3060,"Legit Singaporean Chinese meal, 4 stars, no chili crab",,
3061,'The food here is really good','Service is really slow','Very long queue'
3062,"'What i like most is the har cheong gai, chicken is fresh. But the beef hor fun is a bit too burnt for my liking. Claypot yong tau foo so so even though i saw every table had ordered one 😅 veg is fresh.'",,
3063,"all dishes I ordered, including their popular big prawn horfun was lukewarm at best, any other random zichar place would be better, don't understand why...",standard has dropped drastically,
3064,'delicious food','Good services',
3065,"""Easily the top 3"", ""fresh wild-caught prawns"", ""The prawn soup bee hoon was also full of flavour"", ""The taste tends to be on the stronger side of things"", ""both dishes are slightly spicy"" ",,"""One of the best hot fun in Singapore"""
3066,The food is good and the fish is fresh.,"sure enough, the queue starts forming at 6pm.",overall a good dining experience.
3067,'Good food',,
3068,'prawn hor fun' and 'stir fried beef with spring onions','fantastic' and 'generous portions',
3069,'big prawn horfun and claypot yong tau foo',,
3070,Food taste ok ,"Always long queue, do not recommend, waiting time makes your anger grow more and more, owner even chase away customer who come alone ",No no for me.
3071,Excellent food at reasonable prices,Service is great!,Tough to get a table unless you get there early
3072,"Good food, value for money, worth the wait","long waiting in queue, Be patience",
3073,Good amount of wok hey in the dishes,,
3074,Very good Chinese food,Recommend,
3075,"fresh salad, glass of white wine ",the waiter said as he placed my order in front of me,
3076,,Not my efforts time here,my first experience here 3 years ago
3077,Good food,"great service, amb",ambience of the restaurant
3078,'Very good zi char food',"'The service was prompt', amb: 'Th",'The ambience was cozy'
3079,"prawn hor fun, Yang tau foo, gravy, prawns, Yang tau foo",,
3080,"very fresh steamed garoupa, fermented bean curd fried romaine lettuce, claypot yong tau foo, black bean sauce fried bitter gourd with pork ribs, pepper sauce beef hor fun,",be prepared to queue,
3081,Michelin star/ Cantonese food,Staff friendly,Atmosphere manicured to look like an coffee shop. Presentation good.
3082,"'food taste was really good. i ordered broccoli with pork, broccoli really fresh and a bit smell smoky but its nice. second i ordered fried chicken with prawn sauce if im not mistaken.. again this chicken so juicy and delicious'",'regarding the price hmm a bit expensive tho but overall still very recommended',
3083,The wok hei on the fried rice is really good,,
3084,'Superb nice food!','The waiter was very friendly and attentive','The atmosphere was quite cozy'
3085,Expensive food,Poor service,
3086,Claypot yong tau fu,"queue was long as usual, We queued for an 1hr before we can get a seat, felt the standard has dropped a bit",
3087,really tasty,"queue moved very slowly, took more than an hour to get seated, almost another hour for the 3 dishes ordered to be served, each dish came about 10 minutes apart from each other,",
3088,"Tasty, generous portions of all the dishes, rich ""gu zao wei"" (taste of olden times especially the sea food hor fun)",,
3089,'Food is good','delivery is punctual',
3090,,Reached here at 5pm but the restaurant has not open yet. There were many people waiting in front of the shop.,
3091,Big prawn hor fun is good. Strong wok hei with distinct gravy paired with fresh prawns.,Prepare to wait. Queue can get rather long.,
3092,love their food,,
3093,Hor Fun,,
3094,sweet and sour fish cost $60 with fishy smelly taste,"never disclose price when we order, Feedback when make payment, get reply is - fish all come with fishy smell",
3095,"sweet and sour fish cost $60 with fishy(smelly) taste, fish all come with fishy (smelly), $60 can eat more x10 better fish","Feedback when make payment, get reply is, We get to know the fish price when make payment",
3096,"'big prawn hor fun', 'wok hei taste', 'prawn hor fun with spiciness', 'nothing great about it' ",,
3097,Flavors are great here.,Service can be chaotic and hurried but that's a result of the popularity. Five stars if it weren't for the service.,
3098,'Felt the taste isn't the same anymore.','The food was good but the service was not.','The restaurant had a pleasant atmosphere.'
3099,,,
3100,"""Great food! Go and eat in a bigger group so you can try more of their dishes. Kok Sen Restaurant serves quality food at above average prices""","""Service staff is attentive, …""",
3101,"Claypot Yong taufu, half roast chicken with salt and pepper,",long queue but we were seated by 7pm,
3102,The food here is really good,"The service is efficient, amb: Th","The ambience is great too, with comfortable chairs and good music."
3103,"'The food was good, but not impressive.'",,"'Decent zi char outfit right smack in the middle of town.', 'A tad pricey, but you've great location for good local food…'"
3104,'The food is delicious','ordering may',
3105,"great zi char dishes, great price, four dishes, dined here,","come earlier on weekends to avoid queueing,",
3106,'Standard has dropped immensely since the last time i went (two years ago). Ordered yam ring n sweet sour pork n they were so dry!',,
3107,'Food served cold','Staffs are rude',
3108,recommend dishes ,cheat money ,
3109,Two of us ate three dish,,
3110,Nice Caton style zichar,,
3111,'tasty' ,NA ,
3112,"prawn horfun, average, salty,",,
3113,The food is so delicious! Every dish is very surprising,the door opens at 12 o'clock,there are al...
3114,The food was delicious,great service,cozy atmosphere
3115,"Fresh, reasonable priced,",,
3116,"'big prawn hor fun', 'taste', 'wok hei', 'spiciness', 'eggy sauce', 'staple zi char dish' ",'No one else does it like them 🙆' ,
3117,,Overrated and slow service,
3118,Black pepper,,
3119,Good canto fare,,clean environment
3120,great,"disorganized, Woman must have bagged and rebagged my takeaway order 3 times",
3121,Good Zi char bear cbd. Found the big prawn hor fun to be good,Long queue and sharing of tables is common for smaller groups,
3122,Foods not bad and the portion is good too.,,A place full of people.
3123,Big prawn hor fun is so good,,
3124,,Arrogant and rude. There is no service.,
3125,none,order taking staff at the shop said I needed to wait at least 1 hour,none
3126,Food is tasty and delicious.,Pre-order to minimise a long wait!,
3127,"Authentic, tasty and lots of choices",The queue is often long so best to go early,
3128,"""Very tasteful"", ""food is awesome"" ","""didn't mind waiting""",
3129,"""the food is THAT good""",,
3130,'Food is good and pretty decent and cheap. I love this food post a long night drinking session and it is comfort food.',,
3131,Good food,,
3132,"Nice food, prawn Hor fun, pork ribs, soft and tender, dishes we ordered,",,
3133,Quality is quite consistent.,,
3134,BIG PRAWNS HORFUN,10🌟,
3135,'Food is not bad','long queues so better call and reserve in advance',
3136,superb food!,come during odd timings or you might be caught in an hour or longer queue,
3137,Fantastic food,and service,
3138,"The highlight Big prawn horfun was tasty, spicy though, not suitable for non spicy eaters. Rest of the dishes were well cooked,  crispy shrimp paste chicken was a tad too salty in my opinion. ","Popular Zi Char store, come early to avoid the queue. ",
3139,Fine soft shell crab ,NA ,packed restaurant
3140,Nice hor fun with work hei taste,,
3141,The food was delicious,"The service was excellent, amb: th",the ambience was relaxing
3142,"typical Cantonese cuisine - claypot dishes, Chicken fish cake, Yam in basket, fried Hor fun,",swift and comes piping hot in a wave minutes after your order is placed,jam pack with young diners
3143,Awesome Food,,
3144,"'slightly salty', 'yong tau foo', 'prawn hor fun', '3 different sizes' ","'really good', 'helped' ",
3145,nice food,,
3146,'food quality was disappointing' ,'service was friendly enough' ,'ambience was pleasant'
3147,all parts of text related to zhichar,,
3148,'Food is good','service and attitude gives you indigestion and ruins the experience',
3149,"Fantastic local restaurant, will certainly dine again when in SIN.",no hesitation recommending people here,
3150,,,
3151,Horfun is tasty,,
3152,,'Good','reasonable'
3153,"Foodking good, taste of the dishes were exceptional, prawn hor fun,","45 mins wait, peak periods,",
3154,"Great home cooked Chinese food, The big prawn hor fun and claypot yong tou fu must try!",,
3155,flavourful prawn horfun,ask for the chef to reduce its spiciness,
3156,'Food is good. The bestsellers are really worth the title',,'crowdedness makes it a little uncomfortable.'
3157,Excellent food at reasonable prices,Service is great!!,Tough to get a table unless you get there early. Lunch is easier than dinner.
3158,,Value for money and good service,
3159,'Dishes were interesting and above average','Price was ok. Service was ok only',
3160,"Claypot Yong Tau Foo, Big Prawn Hor Fun, Prawn Paste Chicken, Homemade Tofu with Minched Pork, food standard is still as good,",,
3161,'The food was delicious',"'The service was great', amb: 'Th",'The ambience was cozy and inviting'
3162,,Amazing place worth queuing for,
3163,good food,friendly service,relaxing atmosphere
3164,"signature prawn fried hor fun, great “wok hei”, unique gravy, claypot Yong Tau Fu, unique cooking style",,
3165,Their Big Prawn Hor Fan is just awesome!!! 😋👍🏻,Long queue as usual,
3166,"Enjoyable big prawn hor fun, has spice in it, Well balanced spinach soup dish",,
3167,Good food,,
3168,"""Ate lunch here"", ""local lunch spot"", ""venue was packed"", ""able to get a table""  ","""able to get a table fairly quickly"",","""local lunch spot"", ""venue was packed"""
3169,"'Food was okay, nothing special'","'Queue was long, and the service took too long'",
3170,the food is delicious,"the service is excellent, amb: th",the ambience of the place is great
3171,"No frills zhichar place with very delicious food. The prawn horfun is special with intense flavour, the gravy reminds me of chilli crab. The claypot YTF is nice too and I can taste prawn and sotong in the paste. Highly recommend for delicious food. For me the pricing is reasonable because it is delicious.",,
3172,"Excellent food quality, reasonable prices ","longer waiting period during peak hours , amb: n",no ambience
3173,"tasteless, over price, 2 are nice, rest is waste of money, Michelin star had been taken off",,
3174,Very yummy,,
3175,Yummy yummy yummy and yummy.,,
3176,Big prawn hor fun,,
3177,"fresh steam fish, young tau foo, big prawn soup, dry noodles, other selections, yummy, many years, enjoy,",,
3178,"'Tried the signature horfun. Very savory with large prawns. The claypot tofu was a little oily. Loved the bitter gourd with pork ribs, soft and tasty. Overall the food here is very savory with lots of sauce and will go well with rice.'",,
3179,'The food was terrible','the service was slow','the atmosphere was dull'
3180,The Yong to Fu and the prawn noodles,,
3181,The food was delicious and the portions were generous,The service was friendly and attentive,The atmosphere was cozy and inviting
3182,"The taste is really quite different from what you will eat from other zi char store, it’s filled with aromatic wok hey and a little bit of spice. ",,
3183,"Great food,","make a reservation b4 coming, Always long Q",
3184,Good zi char with wok hei,,
3185,"Warm, good, food",,
3186,'Long wait for the food but quality is not bad','Worth a try but be prepared for some time before u can enjoy them!',
3187,'Tasty food',,
3188,"small size, large size, bunch of staff,","one to two nice women, took our order, ask,",
3189,Tasty zi char with wok hey! Big Prawn hor fun,,
3190,"Usually the hor fun is really good, but somehow today its was too salty...",,
3191,'The food is amazing and so fresh.','The place is busy and there was a little wait but totally worth it. Prices are so fair.','The tables are family style so you might share and meet new friends. You can walk around Chinatown after dinner if you wish. Really cool area!'
3192,"Great prawn horfun and Yong tau foo, Vegetable was nice as well, Price on the higher side, value for money,",,
3193,,Not orderly,
3194,favorite local zhichar,,
3195,'Food served not in order of queue. Bittergourd soup has too much msg.','Long wait. Service staff is impatient. A tad rude.',
3196,"signature dishes, so-so standard",,
3197,The signature shrimp,,
3198,"Fresh ingredients and reasonable price. My favourites are Prawn noodle, deep fried frog with ginger, yam ring, and steam fish.",,This place is very popular with the locals.
3199,,"don't bother to ask anyone else to take your order or ask any questions, language barrier, lack of knowledge, short staff",
3200,Great food,"poor customer service, They lack manpower to cater all the customers. I hope they can do something about it",
3201,'Must try the prawn mee!','the service was outstanding.','The restaurant had a cozy atmosphere.'
3202,'Foods are delicious though','Must come 30 minutes earlier as this is the estimation time you will be queueing for. And then must wait for another 30-45 minutes until you first dish is being served',
3203,The prawn is quite big and I remember around 3-4 in this plate. The prawn is fresh but I cannot feel much prawn flavor? The best is that the hor fun is so perfectly caramelized with so much wok hey,,
3204,Very delicious rice noodles with prawns and eggs. The taste is smooth,,
3205,"Kok Sen is famous for their big prawn horfun and yong tau foo, the horfun is special as the sauce is pretty similar to that of chilli crab",Can get very crowded during dinner time so expect to wait at least 30 minutes before you’re seated,Excellent zichar place
3206,'Don’t understand why so many queue for the insane food. Food are salty not my type.',,
3207,"Super tasty food, incredibly tasty!",don't judge by the interior (or the lack of anything resembling it),the interior (or the lack of anything resembling it)
3208,'The steak was cooked to perfection and the vegetables were fresh and flavourful.',"'The service was also great - the waitstaff were friendly and attentive.', amb: 'Th",'The ambiance of the restaurant was cozy and inviting.'
3209,Very authentic and great food ,Highly recommend ,
3210,all yummy and prices reasonable,many of their dishes were sold out by the time we got there for dinner around 7pm on a Saturday night,
3211,none,none,none
3212,good zichar,,
3213,Tasty local food,,Not Air-conditioned
3214,'Good Chinese food','the service was excellent','the atmosphere was relaxed and inviting'
3215,The food was great,"The service was friendly, amb: Th",The ambience of the restaurant was cozy and inviting.
3216,Tasty large portion ,NA ,
3217,Great food,Be there early to queue though,
3218,'good' food,'great' service,'amazing' atmosphere
3219,,The owner talks nicely,
3220,'Yummy','friendly','cozy'
3221,'GOOOOOD quality Chinese food','Love it! Nice',
3222,quality,quality,
3223,"Super good food,",always fast service,
3224,"Good food,",friendly staff,Be there early to join a queue
3225,'Chinese food','Must go for groups',
3226,"'Kok Sen', 'honest review', 'Sat, 7 September' ",,
3227,"The big prawn hor fan is worth every calorie!, The wok hei smell is amazing!,",very prompt service.,sat evening queue is manageable.
3228,"'Food was fantastic - would recommend the beef hor fun, the fermented lettuce, and the prawn spicy soup'",'Very packed with a Long wait',
3229,"'Excellent food', 'quality of the ingredients is top-notch', 'presentation is wonderful' ","'service is also superb', 'staff are friendly and attentive'","'ambience is also pleasant', 'soft music', 'cozy atmosphere'"
3230,"certain dishes are nice, rest are normal, braised tofu not reccomended",,
3231,'delicious dinner','very wonderful time',
3232,Good food,,
3233,,,
3234,'Food is good','waiting time is long',
3235,"""sinfully delicious"", ""Claypot Yong Tau Foo"", ""Golden Dragon Chicken"", ""Prawn Paste Chicken""",,
3236,'The food is really nice and flavourful' ,'It offers a really good selection of food at decent prices' ,
3237,'Great tasting zichar food. Big portion per dish.',"'The service was excellent, the waiters were friendly and attentive.', amb: 'Th",'The ambience was cozy and comfortable.'
3238,"Must try the claypot Yong Tau Foo, nicely made with a thick and flavourful","Long queues, crowded",
3239,Good food,good service,
3240,"'Canton style zi char with local flavors', 'The food was excellent'","'the service was friendly', amb: 'th",'the ambience was cozy'
3241,,slow,
3242,"Unpretentious local food, Cheap and good, Prawn noodles a must!!!",,hippie area
3243,big prawn hor fun,,
3244,"""Great tze-char!"", ""The food was amazing""","""The service was quick and friendly"", amb: ""th","""the ambience was cozy and inviting"""
3245,Great tasting traditional Chinese dishes,,
3246,"Tasty local cuisine, price reasonable, recommend to everyone who likes chinese cuisine",,
3247,'signature prawn horfun (rice noodles) is excellent','make reservations because it gets really popular during peak service',
3248,"""amazing food""",,
3249,The prices for food are reasonable,,
3250,"'dishes still yummy for all generations', 'claypot Yong tau foo'",,'traditional Chinese style place'
3251,,"waited for very long just to experience very poor service from this restaurant, rude service staff, 3 groups sharing table",
3252,'Quality of food is good',,
3253,all dishes are exceptional good,high service level,proper restaurant
3254,"'Very decent food', 'My favorite is the prawn hor fun', 'Order a large for a group of 4 guys and skip the rice', 'It would be perfect', 'The other dishes are relatively well prepared', 'A signature dish, chicken skin with “seafood”', 'it is basically chicken skin with a fish cake below.'",,
3255,Perfect for breakfast & grab-go meals. They offer pao too👍,,
3256,"Hor fun, beehoon, Yong Tau Foo,",,
3257,'I love all the food here.',"'The service is always top notch.', amb: 'Th",'The ambiance is always so cozy and inviting.'
3258,"prawn horfun, yong toufu, braised fried fish, bittergourd in dark sauce,","better than last visit,",
3259,"Excellent food, eggplant with minced meat claypot, Absolute perfection ","service is not the best, but it's to be expected ",
3260,"Horfun tastes good, the food is generally expensive",,
3261,"""The hor fan taste great"" ","NA , amb: ""it","""its ambience is like any old coffeeshops"""
3262,'Food is cheap and good!' ,'Long queue outside could make you feel a little rushed though.' ,
3263,"Horfun was delicious, with chopped chilli fried into the sauce, giving it a deliciois spiciness. ",,
3264,The steak was cooked perfectly and the sides were flavorful.,"The service was excellent and the waitstaff was attentive and friendly., amb: Th","The ambiance was cozy and inviting, with a relaxed atmosphere and plenty of seating."
3265,blackbean horfun ,NA ,
3266,Yummy Chinese food,"Dinner is always packed, so make reservation.",
3267,'Love the food','Service was excellent','The atmosphere was great'
3268,"Yummy yet n bittergourd ribs, Still so yummy after these yrs",,
3269,Good food,fast service,
3270,'Food was tasty and strong flavour. A bit salty and oily',,
3271,,"really bad service, really rude and they have the don’t care attitude to customers",it is not really clean
3272,Good food,reasonable price,
3273,'good big prawn hor fun','service was fast','ambience was great'
3274,Food taste good,,
3275,"Prawn Hor fun (small$16) is really really good. Prawn is big and fresh. Gravy has a bit hint of chilli crab source. The yong tau foo is not to my taste,unfortunately.",,
3276,'Always Excellent food quality','Solid Zhu Char dishes',
3277,'Food offers are only ordinary',,
3278,"Claypot Yong Tau Foo, Big Prawn Hor Fun, best in the world",,
3279,Excellent sg style zichar,,
3280,"passable, good zi char,",constant lousy service and stuck up attitude,
3281,"The food is always fresh,","the service is prompt and friendly,  amb: th",the ambience is cozy and inviting
3282,"Decent sir zir char, but nothing to shout home about. Not worth the q,",,
3283,"Stir-fried lettuce with fermented bean curd is delicious, fish soup is delicious, fried rice",,
3284,Great value and stirling consistency,,
3285,Very good food,,
3286,"taste is below average, price is relatively high, Fu rong omelette egg, Chinese Spinach ",,
3287,"'The beef hor fun was full of flavour, egg foo yong tasty and sambal kangkong full of shrimp paste goodness. Only minus was the cuts of beef used for the hor'",,
3288,The food is amazing,"the service is friendly and attentive, amb: and th",and the ambience is cozy and inviting.
3289,Good place for claypot dishes,Cash only,
3290,'The food amazingly good. Do try the fish paste chicken.',"NA, amb: 'It's a throwback to old Singapore. Th","'It's a throwback to old Singapore. The ambiance is one of an old coffee shop with tile on the walls, the menu written in Chinese, and No air conditioning, but it's worth it to sweat it out here.'"
3291,"'Tried their cereal prawns, claypot yong Tau foo, and big prawns hor fun. Their prawns are generally tasty, but not the dimsum crunchy kind'",,'Great zichar place.'
3292,'hor fun! Slurp worthy!',,
3293,The beef is so tender and all their dishes so tasty! Sadly I didn't have enough stomach space for all the dishes. Also wanted to try their golden dragon chicken balls ,,This place is packed and understandably so.
3294,Tastes good,,
3295,"Excellent Chinese Zhi Char, clay pot Yong tau foo, Har cheong kai, curry fish tail and slice fish sum lor Hor fun,","BYOB policy, clean up after you go",
3296,Meat rolls and pork chop,service is fast,pretty crowded and busy
3297,"""best zichar in town""","""need to wait for seats""",
3298,"Good value, sufficient wok hei",,
3299,'Their stir fried beef with spring onion and claypot Yong tau Fu are really delicious','It's crowded and busy all the time','It's a casual spot with affordable price'
3300,"Great Food, value for money, very reasonable price, must try, #,",,
3301,Recommend Yong Tau Foo,,Great zhi char restaurant
3302,"Got 1 of our dishes wrongly, some dishes were too salty,","told us we didn't specify properly, everyone at our table heard the order correctly, only the person who took it heard wrongly,",
3303,'the food was really good by all means' ,NA ,'comfort / price ratio'
3304,"uber delicious chinese restaurant, prawn paste chicken, spinach, king prawns, must try, 😋😋😋",,
3305,'best zhi char cuisine',,
3306,"""Food used to taste better before"" ",NA ,
3307,Nice zhu char food,can be crowded,
3308,nice food,nice place,
3309,"Great food, value for money, Must try their big prawn hor fun, fish soup, Claypot yong tau foo, Har cheong kai also good, Reservations a must. ",,
3310,The food was delicious,"the service was friendly, amb: th",the ambience was cozy
3311,'Food quality is very high and value for money',"'The service was friendly and efficient', amb: 'Th",'The ambience was pleasant and relaxing'
3312,'The food is good but not great',"'The wait is long. The family business is booming due to the Michelin starred cafe, so the staff can not cope with the increased flow of customers, because of this, the speed and quality of service'",'The atmosphere is hectic. The furniture is plastic.'
3313,'Excellent dishes! Love them and will recommend to our friends! Totally a great dinner night out for the 6 of us!' ,NA ,
3314,,The entire place was already reserved and they opened up a table just for us.,
3315,Yummy Cantonese food,,
3316,"very yummy food, big prawn hor fun, must-try, 3rd visit,",,
3317,Cantonese cuisine,Friendly servers,Parking can be a challenge though
3318,'Food is good and price is right','No matter how late and which night they are packed','All walks of people and even foreigners are coming here. Guess cos they were awarded the bib gourmand recently'
3319,"'comfort food', 'too salty', 'ideal restaurant to eat and drink' ",,'good buddies'
3320,Delicious local food,,
3321,Had a lovely Chinese New Year meal here,chatting happily with the staff in Cantonese,authentic local feel
3322,"Kok Sen,",having to wait a long time and the staff being a bit inefficient and impatient,
3323,,Bad phone service as I wanted to call for reservation but I had been calling since 5pm and for 40 mins the phone engaged all the time???,
3324,,'The lady who attended to us was impatient when we took a little',
3325,'Food tastes good',"'Absolutely poor service', 'wait for 20 minutes to get your order taken after seating, and another 45 minutes for your food to arrive'",
3326,each dish takes 10-15mins to arrive,"Worst service ever! Waited more than 45mins for the food, When asked, waiters just brushed us off saying “yeah its a long wait”, no sorries ",
3327,'Food is great' ,'Service is inconsistent',
3328,,'wet tissues are not free.',
3329,"Great Tze Char place, prawn fu yong omelette,","Difficult to get seats during meal hours, willing to wait a while,",
3330,'Food is good',"'The waiter was attentive and friendly', amb: 'Th",'The ambience of the restaurant was cozy and inviting'
3331,Good food,,hip area
3332,,"Rude lady boss while we asked for fish pricing, she shouted and asked us look for the price instead.",
3333,quality of cooking,standard,
3334,"""cantonese cze char places around Chinatown/tanjong pagar area"", ""mouth watering"", ""menu recommendations"" ","""Go early around 6pm to get a table or try to call to reserve"", ""That's how popular they are"" ",
3335,"""The general experience and atmosphere was a very positive one and the food was good"" ","""But I was disappointed in the service at our table. I felt like there was no effort to make the customer happy and I was even made fun of after not understanding the mumbled words of the service staff. I never experienced this before."" ","""The general experience and atmosphere was a very positive one"""
3336,'Delicious food','Good place to have a breakfast','Pretty interesting decor'
3337,Excellent brunch and coffee,very friendly,
3338,"Coffee is good here, Requested for double shot, 5oz, Variety of brunch food, Food will be more African style, He even showed us the menu,","Coffee came hot, strong and full of aroma, Owner/boss was really friendly, Free tasting of their capsules,","Glad they moved to city area, Enjoyed my time there, Will start to serve dinner during Ramadan month"
3339,good food,Super kind & friendly staff,
3340,'The food is always delicious',"'the service is great', amb: 'th",'the ambiance is cozy'
3341,"'Ordered a coffee takeaway, it's prepared carefully and nice'",,
3342,Scrumptious all-day brunch spread,My first visit,"Great location, Good Coffee!!!"
3343,great food ,"excellent service , amb: A nic",A nice ambience
3344,'Had the Eggs Benedict and iced mocha. Nice.',"'Attentive service, Prompt and attentive service.'",'Quick stopover breakfast while biking on a weekday morning.'
